business_type,investment,market_demand,competition,experience,operating_cost,target_market,risk_level
Services,300000,Medium,Medium,High,47349.68,Medium,High Risk
Retail,200000,High,Medium,Low,44376.63,Large,Medium Risk
Manufacturing,750000,Medium,High,Low,175162.87,Medium,High Risk
Fashion & Clothing,2000000,Low,Low,Medium,306070.07,Small,High Risk
Food & Beverage,1500000,Medium,Low,Medium,346767.33,Small,High Risk
Food & Beverage,1000000,High,Medium,Medium,69107.06,Medium,Medium Risk
Retail,750000,Medium,Low,Medium,166919.56,Large,Medium Risk
Manufacturing,100000,Medium,Medium,Low,12818.12,Small,High Risk
Retail,1500000,High,Low,Medium,196295.63,Medium,High Risk
E-commerce,750000,Medium,High,Medium,88084.07,Large,High Risk
Manufacturing,200000,Low,High,Low,22934.86,Large,High Risk
Manufacturing,25000,High,High,Low,4450.84,Medium,Medium Risk
Fashion & Clothing,50000,High,Low,Medium,4403.25,Medium,Medium Risk
Technology,200000,Low,Medium,High,17012.12,Large,Medium Risk
Education,1500000,Low,Medium,Medium,321541.93,Small,Medium Risk
Education,100000,Low,High,High,15799.14,Small,Medium Risk
Technology,300000,Low,Medium,High,66881.17,Small,High Risk
Food & Beverage,200000,Medium,Medium,Medium,13505.71,Large,Medium Risk
Retail,1500000,Medium,High,Low,357716.11,Medium,High Risk
E-commerce,500000,Medium,Medium,Medium,64717.88,Medium,Medium Risk
Food & Beverage,100000,High,Medium,Medium,7825.56,Large,Low Risk
Manufacturing,100000,Low,High,Low,24512.2,Medium,High Risk
Retail,50000,Low,High,High,7370.62,Medium,Medium Risk
Technology,1500000,High,Low,Medium,226832.27,Large,Medium Risk
Services,200000,Medium,Low,Medium,18641.53,Medium,Low Risk
Education,100000,Medium,Low,Low,14692.03,Medium,Medium Risk
Manufacturing,1000000,Medium,Medium,Low,64925.96,Medium,High Risk
Fashion & Clothing,25000,Medium,High,High,4326.1,Small,Medium Risk
Services,200000,Medium,Medium,Low,45464.17,Medium,Medium Risk
E-commerce,500000,High,High,High,26103.13,Medium,Medium Risk
Technology,300000,Low,Medium,High,23226.58,Large,Low Risk
Food & Beverage,50000,Medium,Low,Low,2926.33,Small,High Risk
E-commerce,25000,Medium,Medium,High,1740.41,Medium,Medium Risk
E-commerce,1500000,Medium,High,Medium,361866.66,Small,High Risk
Retail,25000,High,High,High,1632.08,Small,Medium Risk
E-commerce,750000,High,High,Medium,129590.04,Large,High Risk
Fashion & Clothing,100000,Low,High,Medium,5956.62,Small,High Risk
E-commerce,1000000,Low,Low,Medium,127519.05,Large,High Risk
Technology,200000,Medium,High,Medium,17407.82,Large,High Risk
Technology,1000000,Medium,Low,Low,243572.01,Large,Medium Risk
Fashion & Clothing,1000000,Medium,Medium,Low,74277.28,Medium,High Risk
Retail,2000000,Medium,High,Low,150093.43,Large,High Risk
Fashion & Clothing,50000,Medium,Medium,Medium,10617.7,Medium,Medium Risk
Fashion & Clothing,50000,Low,Medium,Medium,6894.05,Small,Medium Risk
Food & Beverage,500000,Medium,High,Medium,74604.78,Small,Medium Risk
Fashion & Clothing,750000,High,Medium,Medium,132910.61,Medium,High Risk
Manufacturing,1000000,High,Medium,Low,60771.64,Medium,Medium Risk
Services,50000,Low,High,Low,12151.3,Large,High Risk
E-commerce,750000,High,High,Medium,126052.15,Large,High Risk
Manufacturing,750000,Medium,High,Medium,61627.23,Medium,Medium Risk
Fashion & Clothing,1000000,Low,High,High,69835.62,Medium,High Risk
Manufacturing,750000,Medium,High,Medium,118304.35,Medium,High Risk
Food & Beverage,2000000,High,High,Low,399818.19,Small,High Risk
E-commerce,750000,Medium,Medium,Low,95306.38,Medium,High Risk
Fashion & Clothing,500000,Medium,Medium,Medium,94561.81,Small,Medium Risk
Retail,750000,High,Medium,Medium,53120.6,Medium,Medium Risk
Education,200000,Medium,Medium,Medium,42199.56,Large,Medium Risk
Fashion & Clothing,2000000,High,High,Medium,276079.6,Medium,High Risk
Education,25000,Medium,Low,Low,4241.13,Large,Medium Risk
Technology,25000,Medium,Medium,High,1841.68,Medium,Medium Risk
Education,750000,Medium,Medium,Low,91835.32,Medium,High Risk
Technology,500000,Medium,Medium,Low,119067.92,Medium,Medium Risk
E-commerce,2000000,High,High,Low,421057.32,Medium,High Risk
Food & Beverage,200000,Low,High,High,41208.52,Medium,High Risk
Retail,500000,Low,Low,Medium,117262.31,Small,Medium Risk
Services,750000,Low,High,Low,78292.46,Medium,High Risk
Education,2000000,High,Medium,Low,441235.85,Large,High Risk
Retail,750000,Low,Low,Medium,119748.09,Large,Medium Risk
Fashion & Clothing,750000,Medium,High,High,131163.82,Small,Medium Risk
Fashion & Clothing,25000,Medium,High,Medium,2997.53,Small,High Risk
Retail,50000,High,Medium,Low,9337.54,Small,Medium Risk
Food & Beverage,2000000,Medium,High,Medium,345160.06,Medium,High Risk
Technology,50000,Medium,Low,High,10999.75,Medium,Medium Risk
Services,1000000,High,Low,Medium,245612.36,Large,Medium Risk
Education,25000,Low,Medium,Low,2901.08,Medium,High Risk
Services,1500000,Medium,High,Medium,240754.08,Medium,High Risk
E-commerce,1000000,Medium,Medium,High,124386.53,Large,Medium Risk
E-commerce,300000,High,Low,Medium,32228.28,Small,Medium Risk
Services,300000,Medium,High,Medium,69905.4,Medium,High Risk
Services,50000,Medium,High,High,5269.04,Medium,Medium Risk
Retail,25000,Low,Medium,Medium,5351.89,Small,High Risk
Technology,100000,High,High,Medium,24342.53,Large,Low Risk
Manufacturing,750000,Low,High,Low,187061.72,Medium,High Risk
E-commerce,300000,Medium,Medium,Medium,68415.48,Medium,Medium Risk
Technology,300000,High,Medium,Low,70092.48,Medium,Medium Risk
E-commerce,50000,High,Medium,Medium,7442.12,Large,Medium Risk
Services,2000000,Low,Low,Low,387630.98,Large,High Risk
Education,50000,High,High,Medium,6023.75,Small,Medium Risk
Services,100000,Low,High,Low,11298.39,Large,High Risk
Services,25000,High,Medium,Medium,4720.75,Small,Medium Risk
Education,500000,Medium,Low,High,65830.63,Medium,Low Risk
Retail,100000,Low,High,Medium,22484.53,Large,High Risk
Education,50000,Medium,Medium,High,7966.48,Large,Medium Risk
E-commerce,200000,Low,Medium,Low,48649.74,Medium,High Risk
Fashion & Clothing,1500000,Medium,High,High,316472.03,Small,High Risk
Services,100000,High,Low,Medium,15813.97,Small,Low Risk
Technology,1500000,Low,Medium,Low,254507.25,Large,High Risk
Retail,200000,Low,High,High,23216.32,Medium,Medium Risk
Retail,1000000,Low,Low,Low,208915.66,Medium,Medium Risk
Technology,50000,Medium,High,Low,4702.25,Small,High Risk
Manufacturing,1500000,High,High,High,338693.67,Small,Medium Risk
E-commerce,2000000,Low,Low,High,278098.44,Small,Medium Risk
Manufacturing,100000,Low,Medium,Low,12690.23,Small,High Risk
Retail,25000,Medium,Medium,High,1264.61,Small,Low Risk
Services,500000,Low,Low,Low,122153.27,Small,High Risk
Technology,100000,Medium,Medium,Medium,15740.15,Small,Medium Risk
Technology,25000,Low,Low,Low,2944.3,Small,Medium Risk
Food & Beverage,500000,High,Medium,Low,86706.65,Small,Medium Risk
E-commerce,750000,Medium,Low,Medium,44228.04,Large,Medium Risk
Retail,1000000,Medium,Medium,High,192806.53,Small,Medium Risk
Fashion & Clothing,25000,High,High,High,1257.83,Large,Low Risk
Services,25000,Medium,Medium,Low,3344.74,Small,High Risk
Retail,2000000,Medium,High,Medium,358438.47,Medium,High Risk
Food & Beverage,50000,Low,Low,Low,4218.48,Medium,Medium Risk
E-commerce,300000,High,Low,Medium,23528.23,Small,Medium Risk
E-commerce,25000,Low,Medium,High,5290.11,Large,Medium Risk
Education,1500000,High,High,High,282747.85,Medium,Medium Risk
Retail,300000,High,Medium,Low,38054.38,Large,Medium Risk
Services,1500000,Medium,Medium,Medium,186351.73,Small,High Risk
Fashion & Clothing,750000,Medium,Low,Medium,44216.77,Small,Medium Risk
Retail,200000,Medium,Medium,Medium,10268.42,Large,Medium Risk
Retail,25000,High,Medium,Medium,2339.46,Medium,Low Risk
Retail,200000,Low,High,Low,49098.08,Large,High Risk
E-commerce,500000,High,Medium,Medium,56320.63,Small,Medium Risk
Education,300000,Medium,High,Low,72355.13,Small,Medium Risk
Food & Beverage,1500000,High,Medium,High,191844.57,Small,Medium Risk
Fashion & Clothing,500000,Medium,Low,Medium,79170.48,Medium,Medium Risk
E-commerce,2000000,High,High,Low,302978.55,Large,High Risk
Services,300000,High,Medium,Low,49828.06,Small,High Risk
E-commerce,200000,Medium,High,High,34936.24,Small,Medium Risk
Fashion & Clothing,2000000,Medium,High,Low,441023.11,Small,High Risk
Fashion & Clothing,300000,Medium,Medium,Medium,17278.89,Medium,Medium Risk
E-commerce,750000,Low,High,Low,169063.59,Medium,High Risk
Fashion & Clothing,200000,High,Medium,Medium,21431.34,Small,Medium Risk
Technology,1000000,Medium,Medium,High,122453.62,Small,High Risk
Education,200000,High,Medium,High,12378.86,Small,Medium Risk
Retail,25000,High,High,Low,5667.32,Large,Medium Risk
Food & Beverage,500000,High,High,Medium,38443.51,Medium,Medium Risk
Manufacturing,50000,Medium,High,Medium,10433.94,Large,Medium Risk
Education,100000,High,High,Medium,7857.01,Small,Medium Risk
Services,1500000,High,High,Medium,101581.41,Small,High Risk
Services,500000,Medium,Medium,Medium,82704.07,Medium,High Risk
Manufacturing,100000,Medium,Medium,Low,15012.49,Medium,Medium Risk
Food & Beverage,50000,High,High,Low,11134.01,Large,Low Risk
Fashion & Clothing,750000,High,Medium,High,85724.36,Small,Medium Risk
Technology,300000,Low,Low,Medium,60576.69,Large,High Risk
Retail,750000,Medium,Medium,Medium,131217.58,Medium,High Risk
Services,300000,High,Medium,Medium,23572.56,Large,Low Risk
Fashion & Clothing,50000,Medium,Low,High,10737.78,Large,Low Risk
Fashion & Clothing,500000,High,Low,High,25381.99,Small,Low Risk
Services,1500000,Low,High,High,113978.98,Small,High Risk
Services,50000,High,Medium,High,6273.18,Large,Low Risk
Manufacturing,25000,High,Medium,Medium,4413.56,Large,Medium Risk
Retail,1000000,High,High,Medium,109610.44,Small,High Risk
Services,100000,Medium,High,Low,14971.42,Large,Low Risk
Education,50000,Medium,High,Low,11089.57,Small,High Risk
Food & Beverage,300000,High,High,Low,54441.21,Large,High Risk
Services,750000,Medium,Medium,Low,135245.96,Medium,High Risk
E-commerce,500000,Medium,Medium,Medium,44921.53,Small,Medium Risk
Retail,25000,Low,Medium,Low,5427.4,Medium,Medium Risk
Manufacturing,300000,High,High,Medium,71930.76,Large,Low Risk
Retail,500000,Medium,High,High,29165.68,Medium,Medium Risk
Technology,25000,Medium,High,High,3856.48,Medium,Medium Risk
Food & Beverage,1500000,Low,Medium,Low,162992.58,Small,High Risk
Education,2000000,Low,Medium,Medium,327237.0,Small,High Risk
Education,100000,Low,High,High,20607.52,Small,High Risk
Technology,200000,High,High,High,34131.67,Small,Medium Risk
Food & Beverage,200000,High,High,High,49653.12,Medium,High Risk
E-commerce,500000,Medium,Low,Low,39080.29,Medium,Medium Risk
E-commerce,300000,Medium,High,Low,53569.13,Small,High Risk
Retail,200000,Medium,High,Medium,12425.16,Medium,Medium Risk
Food & Beverage,500000,Medium,Low,Medium,92962.03,Small,Medium Risk
Technology,500000,High,High,Medium,43030.79,Large,Medium Risk
E-commerce,25000,Low,High,Medium,3209.29,Medium,High Risk
Retail,200000,High,High,Medium,49245.75,Small,Medium Risk
Food & Beverage,100000,Low,Low,Low,5283.8,Large,Medium Risk
Manufacturing,50000,High,Medium,High,12170.53,Small,Low Risk
Services,25000,Medium,High,High,5067.9,Small,Medium Risk
Technology,1500000,High,High,Medium,240597.09,Large,Medium Risk
Services,1000000,High,High,Low,135740.4,Small,High Risk
Manufacturing,100000,High,Low,High,8076.14,Large,Low Risk
Manufacturing,100000,Low,Medium,Low,17440.79,Small,Medium Risk
Services,200000,Medium,Medium,High,46089.46,Medium,Low Risk
Retail,300000,Low,Low,High,31948.72,Small,Medium Risk
Services,300000,High,Medium,Medium,34580.31,Large,Low Risk
Education,750000,High,High,Medium,154554.83,Medium,Medium Risk
Services,50000,Low,Medium,Low,5815.65,Large,High Risk
E-commerce,200000,Medium,High,Medium,13802.12,Large,Medium Risk
Fashion & Clothing,200000,High,High,Medium,16063.8,Small,Medium Risk
Services,750000,High,Medium,Medium,117303.25,Small,Medium Risk
Retail,500000,Medium,High,Low,45357.84,Small,High Risk
E-commerce,500000,High,High,Low,91304.72,Large,Medium Risk
Retail,300000,High,Medium,High,64081.6,Large,Low Risk
Fashion & Clothing,500000,Medium,Low,High,79247.1,Small,Medium Risk
Fashion & Clothing,750000,Medium,High,Low,154594.76,Small,High Risk
Technology,1500000,Medium,High,Medium,113982.41,Small,High Risk
Technology,25000,Medium,Medium,Medium,5914.62,Medium,Medium Risk
E-commerce,500000,High,High,Medium,111169.09,Small,High Risk
Food & Beverage,1500000,Low,Medium,Low,368557.64,Large,High Risk
Fashion & Clothing,750000,Medium,Medium,Medium,113500.9,Medium,High Risk
Retail,100000,High,Low,High,17318.24,Medium,Low Risk
E-commerce,100000,High,Medium,Medium,13591.92,Small,Medium Risk
E-commerce,500000,Low,High,Medium,120246.71,Large,High Risk
Education,200000,Medium,Medium,High,30060.62,Large,Medium Risk
Technology,1000000,High,High,High,175598.68,Small,Medium Risk
E-commerce,300000,Medium,Medium,Low,58961.94,Medium,High Risk
Manufacturing,500000,Low,Medium,Low,58346.26,Medium,High Risk
Education,750000,High,Medium,Medium,132342.32,Medium,Medium Risk
Education,100000,High,Medium,High,11505.08,Large,Low Risk
Food & Beverage,2000000,Low,High,Low,261440.4,Small,High Risk
Food & Beverage,2000000,Medium,Low,Medium,129616.89,Large,Medium Risk
Fashion & Clothing,50000,Medium,High,High,8536.37,Large,Low Risk
E-commerce,500000,Low,Medium,Medium,70802.22,Large,Medium Risk
Food & Beverage,500000,High,Medium,Medium,95662.99,Medium,Medium Risk
Retail,200000,Low,Low,Low,14682.64,Small,High Risk
